MätplatsID;Namn;Vägnummer;Kommun
14002010;Bhpl Gestadvägen;E45;Vänersborg
14002020;Bhpl Gestadvägen;E45;Vänersborg
14002030;Bhpl Flybo;E45;Vänersborg
14002040;Bhpl Flybo;E45;Vänersborg
14002050;Frändefors;E45;Vänersborg
14002060;Frändefors;E45;Vänersborg
14002070;Bhpl Asmundebyn;E45;Vänersborg
14002080;Bhpl Asmundebyn;E45;Vänersborg
14002090;Smedserud;E45;Vänersborg
14002100;Smedserud;E45;Vänersborg
14002110;Östebyn Norr;E45;Vänersborg
14002120;Östebyn Söder;E45;Vänersborg
14005010;VVIS station;161;Uddevalla
14005020;Nybygget V;161;Uddevalla
14005030;Nybygget Ö;161;Uddevalla
14005040;Stensbacka;161;Uddevalla
14005050;Berghogen;161;Uddevalla
14005060;Äskebacka;161;Uddevalla
14005070;Kamperöd;161;Uddevalla
14006010;Bälinge nö;1900;Alingsås
14006020;Bälinge sv;1900;Alingsås
14006030;Torp;1900;Vårgårda
14006040;Hols skola;1900;Vårgårda
14006050;Bäne VVIS;1900;Vårgårda
14006060;Bäne sv;1900;Vårgårda
14006100;Vårgårda VVIS;E20;Vårgårda
14006120;Rasta nö;E20;Vårgårda
14006130;Västergården;E20;Vårgårda
14006140;Lundskullen;E20;Vårgårda
14006150;Hasselkroken;E20;Vårgårda
14006160;Ribbingsberg;E20;Essunga
14007005;Hassle;E20;Mariestad
14007010;Hassle;E20;Mariestad
14007011;Berga;E20;Mariestad
14007012;Hasslerör Motell;E20;Mariestad
14007014;Säbykrogen;E20;Mariestad
14007015;Muggebo;E20;Mariestad
14007016;Rattugglan;E20;Mariestad
14007020;Hindsberg;E20;Mariestad
14007030;Karleby;E20;Mariestad
14007040;Prästkvarn;E20;Mariestad
14007050;Lugnås;E20;Mariestad
14007060;Lugnås;E20;Mariestad
14007070;Lilla Moholm;E20;Mariestad
14007080;Lilla Moholm;E20;Mariestad
14007100;Boamarken;E20;Götene
14008030;Bahult;E20;Gullspång
14008040;Bahult;E20;Gullspång
14009010;Överby TPL;E45;Trollhättan
14009020;Överby TPL;E45;Trollhättan
14011010;Vittene;44;Trollhättan
14011020;Skaven;44;Grästorp
14013010;Falköpings flygplats;46;Falköping
14013020;Falköpings flygplats;46;Falköping
14013030;Källegården;46;Falköping
14013040;Källegården;46;Falköping
14013050;Valtorp Syd;46;Falköping
14013060;Valtorp Norr;46;Falköping
14013070;Stenstorp Syd;46;Falköping
14013080;Stenstorp;46;Falköping
14014010;Väg Kihls By;160;Tjörn
14014020;Kihls bhpl;160;Tjörn
14014030;Skåpesunds bhpl;160;Tjörn
14014040;Skåpesunds Norra bhpl;160;Orust
14015030;Bingared;190;Göteborg
14015040;Knipareds bhpl;190;Göteborg
14015050;Torvhögsvägen;190;Göteborg
14015060;Olofstorps västra bhpl;190;Göteborg
14015070;Stannums bhpl;190;Lerum
14015080;Stannums Byväg;190;Lerum
14016030;Källby östra;44;Götene
14016040;Skälvum;44;Götene
14016050;Götene Arla;44;Götene
14016060;Götene Prästgårdsängen;44;Götene
14017010;P-ficka vid Berg;E45;Mellerud
14017020;P-ficka vid Berg;E45;Mellerud
14017030;Bhpl vid Kronäckerud;E45;Mellerud
14017040;Bhpl vid Brunshult;E45;Mellerud
14017050;Bhpl vid Granliden;E45;Mellerud
14017060;Bhpl vid Svennungerud;E45;Mellerud
14017070;Bhpl vid Ö. Vässby;E45;Mellerud
14019050;Steneby;E6.20;Göteborg
14019060;Björkebacken östgående;E6.20;Göteborg
14019070;Björkebacken västgående;E6.20;Göteborg
14019080;Assmundtorp;E6.20;Göteborg
14019090;Svensby;E6.20;Göteborg
14019100;Gerrebacka östgående;E6.20;Göteborg
14019110;Gerrebacka västgående;E6.20;Göteborg
14021010;Sandvad vä;156;Mark
14021020;Sandvad ö;156;Mark
14021030;Hyssna handel;156;Mark
14021040;Nybygget;156;Mark
14022010;Göta;E45;Lilla Edet
14022020;Göta;E45;Lilla Edet
14024010;Hjorttorp östgående;156;Mark
14024020;Hjorttorp västgående;156;Mark
14024030;Skene skog östgående;156;Mark
14024040;Skene skog västgående;156;Mark
14024050;Skene Bil västgående;156;Mark
14025010;Häggvall sydgående;169;Tjörn
14025020;Häggvall nordgående;169;Tjörn
14025030;Svanvik sydgående;169;Tjörn
14025040;Svanvik nordgående;169;Tjörn
14027010;Vävra västgående;168;Kungälv
14027020;Vävra östgående;168;Kungälv
14027030;Gullbringa västgående;168;Kungälv
14027040;Gullbringa östgående;168;Kungälv
14027050;Tjuvkil västgående;168;Kungälv
14028010;Hassle Jvg;26;Mariestad
14028020;Hassle Jvg;26;Mariestad
14028022;Fåleberg norrgående körritning;26;Mariestad
14028024;Fåleberg södergående körritning;26;Mariestad
14028026;Börstorp norrgående köriktning;26;Mariestad
14028028;Börstorp södergående köriktning;26;Mariestad
14028030;Sjötorp s infart;26;Mariestad
14028040;Sjötorp Norr kanalen;26;Mariestad
14029010;S Henån;160;Orust
14029020;Bhpl Nötevik;160;Orust
14029030;Bhpl Söbben;160;Orust
14029040;Gåre Torg;160;Orust
14029050;Bhpl Sundsandvik;160;Uddevalla
14029060;Ensk v Åsen;160;Uddevalla
14030010;Hasslum;49;Skövde
14030020;Igelstorp;49;Skövde
14030030;Igelstorp;49;Skövde
14030040;Hallebacken;49;Skövde
14030050;Hallebacken;49;Skövde
14030060;Piggatorp;49;Skövde
14030070;Piggatorp;49;Skövde
14030080;Gärekorset;49;Tibro
14030090;Gärekorset;49;Tibro
14031010;Moakorset;27;Tranemo
14031020;Hyltegärde;27;Tranemo
14031030;Rosenlund;27;Tranemo
14031040;Limmared;27;Tranemo
14031050;Limmared;27;Tranemo
14031060;Tingarör;27;Tranemo
14031070;Tingarör;27;Tranemo
14032010;Rännefalan;47;Falköping
14032020;Rännefalan;47;Falköping
14032030;Leaby;47;Falköping
14032040;Leaby;47;Falköping
14033010;Sundholmen norrgående;41;Mark
